date,neo4j.ids_in_use.node_Avg,neo4j.ids_in_use.node_Max,neo4j.ids_in_use.property_Avg,neo4j.ids_in_use.property_Max,neo4j.ids_in_use.relationship_Avg,neo4j.ids_in_use.relationship_Max,neo4j.ids_in_use.relationship_type_Avg,neo4j.ids_in_use.relationship_type_Max
2019-02-10,693839,693839,7652801,7652857,903201,903201,55,55
2019-02-11,693930,694263,7661578,7678375,903746,904168,55,55
2019-02-12,695714,698618,7707044,7746214,905297,908508,55,55
2019-02-13,698296,698747,7747278,7753818,908588,908942,55,55
2019-02-14,698144,698613,7760402,7777753,909013,909428,55,55
2019-02-15,698309,698938,7787336,7823161,909221,910004,55,55
2019-02-16,699616,700296,7813849,7827004,910061,910392,55,55
2019-02-17,699987,700266,7834945,7849670,909722,910017,55,55
2019-02-18,700438,700781,7857265,7868034,909824,910153,55,55
2019-02-19,701227,703552,7882779,7931628,910657,911462,55,55
2019-02-20,708875,711032,7995458,8021523,912284,912940,55,55
date,tx.peak_concurrent_Avg,tx.peak_concurrent_Max,tx.started-ps_Avg,tx.started-ps_Max,tx.active_Avg,tx.active_Max,tx.active_read_Avg,tx.active_read_Max,tx.active_write_Avg,tx.active_write_Max,tx.committed-ps_Avg,tx.committed-ps_Max,tx.committed_read-ps_Avg,tx.committed_read-ps_Max,tx.committed_write-ps_Avg,tx.committed_write-ps_Max,tx.rollbacks-ps_Avg,tx.rollbacks-ps_Max,tx.rollbacks_read-ps_Avg,tx.rollbacks_read-ps_Max,tx.rollbacks_write-ps_Avg,tx.rollbacks_write-ps_Max,tx.terminated-ps_Avg,tx.terminated-ps_Max,tx.terminated_read-ps_Avg,tx.terminated_read-ps_Max,tx.terminated_write-ps_Avg,tx.terminated_write-ps_Max
2019-02-10,239,239,471,1190,4,61,4,61,0,0,471,1189,471,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-11,239,239,454,1269,9,224,5,167,5,205,374,1270,301,1270,74,436,81,551,81,551,0,0,1,392,1,392,0,0
2019-02-12,239,239,441,1213,11,248,5,198,6,226,333,1210,234,1210,100,462,108,381,108,381,1,1,1,210,1,210,1,1
2019-02-13,239,239,452,1297,8,220,5,175,4,219,392,1298,337,1297,56,438,61,365,61,365,0,0,1,314,1,314,0,0
2019-02-14,239,239,462,1430,8,268,5,182,4,207,393,1429,331,1429,63,415,69,455,69,455,1,1,1,314,1,314,1,1
2019-02-15,239,239,469,1337,6,224,5,157,2,191,441,1334,416,1334,26,445,29,357,29,357,0,0,1,209,1,209,0,0
2019-02-16,239,239,466,1378,8,263,5,198,4,237,409,1378,356,1378,53,429,58,328,58,328,0,0,1,92,1,92,0,0
2019-02-17,239,239,464,1290,8,264,5,177,4,200,397,1292,335,1292,63,426,68,357,68,357,1,1,1,253,1,253,1,1
2019-02-18,239,239,463,1407,8,219,4,165,4,219,397,1408,336,1408,61,429,66,329,66,329,0,0,1,166,1,166,0,0
2019-02-19,239,239,468,1508,8,230,5,197,3,202,420,1506,375,1506,45,538,49,446,49,446,0,0,1,308,1,308,0,0
2019-02-20,239,239,465,1513,9,226,5,171,4,193,397,1509,334,1504,64,405,69,387,69,387,0,0,1,295,1,295,0,0
date,blt.accumulated_processing_time_Avg,blt.accumulated_processing_time_Max,blt.accumulated_queue_time_Avg,blt.accumulated_queue_time_Max,blt.messages_received-ps_Avg,blt.messages_received-ps_Max,blt.messages_started-ps_Avg,blt.messages_started-ps_Max,blt.sessions_started-ps_Avg,blt.sessions_started-ps_Max
2019-02-10,1,1,1,1,3298,8327,3298,8326,1,5
2019-02-11,1,1,1,1,3750,8887,3750,8887,1,28
2019-02-12,1,1,1,1,3860,19931,3860,15206,1,39
2019-02-13,1,1,1,1,3595,9084,3595,9085,1,36
2019-02-14,1,1,1,1,3718,10002,3718,10001,1,24
2019-02-15,1,1,1,1,3479,9338,3479,9334,1,24
2019-02-16,1,1,1,1,3665,9646,3665,9645,1,22
2019-02-17,1,1,1,1,3726,9040,3726,9040,1,21
2019-02-18,1,1,1,1,3703,9851,3703,9850,1,23
2019-02-19,1,1,1,1,3611,10541,3611,10537,1,23
2019-02-20,1,1,1,1,3740,10582,3740,10585,1,34
date,pgc.hit_ratio_Avg,pgc.hit_ratio_Max,pgc.page_faults-ps_Avg,pgc.page_faults-ps_Max,pgc.hits-ps_Avg,pgc.hits-ps_Max,pgc.flushes-ps_Avg,pgc.flushes-ps_Max,pgc.eviction_exceptions-ps_Avg,pgc.eviction_exceptions-ps_Max,pgc.evictions-ps_Avg,pgc.evictions-ps_Max,pgc.pins-ps_Avg,pgc.pins-ps_Max,pgc.unpins-ps_Avg,pgc.unpins-ps_Max
2019-02-10,1,1,1,3,187881,930287,21,264,0,0,0,0,187881,930287,187881,930287
2019-02-11,1,1,1,4,128575,1621958,20,274,0,0,0,0,128575,1621958,128575,1621958
2019-02-12,1,1,1,7,98087,1165857,20,273,0,0,0,0,98087,1165857,98087,1165857
2019-02-13,1,1,1,3,153108,1401059,21,272,0,0,0,0,153108,1401059,153108,1401059
2019-02-14,1,1,1,3,55686,1168451,21,273,0,0,0,0,55686,1168451,55686,1168451
2019-02-15,1,1,1,5,3969,33359,21,268,0,0,0,0,3969,33359,3969,33359
2019-02-16,1,1,1,5,5279,35325,21,272,0,0,0,0,5279,35325,5279,35325
2019-02-17,1,1,1,3,5725,34959,21,271,0,0,0,0,5725,34959,5725,34959
2019-02-18,1,1,1,8,5661,35652,22,265,0,0,0,0,5661,35652,5661,35652
2019-02-19,1,1,1,28,14199,1169800,21,278,0,0,0,0,14199,1169800,14199,1169800
2019-02-20,1,1,1,23,5849,30833,23,278,0,0,0,0,5849,30833,5849,30833
date,cyp.replan_events-ps_Avg,cyp.replan_events-ps_Max,cyp.replan_wait_time_Avg,cyp.replan_wait_time_Max
2019-02-10,0,0,0,0
2019-02-11,1,1,1,1
2019-02-12,1,2,1,1
2019-02-13,0,0,0,0
2019-02-14,1,1,1,1
2019-02-15,1,1,1,1
2019-02-16,1,1,1,1
2019-02-17,1,1,1,1
2019-02-18,1,1,1,1
2019-02-19,1,5,1,1
2019-02-20,1,2,1,1
date,ckp.events-ps_Avg,ckp.events-ps_Max,ckp.total_time_Avg,ckp.total_time_Max
2019-02-10,1,1,1,1
2019-02-11,1,1,1,1
2019-02-12,1,1,1,1
2019-02-13,1,1,1,1
2019-02-14,1,1,1,1
2019-02-15,1,1,1,1
2019-02-16,1,1,1,1
2019-02-17,1,1,1,1
2019-02-18,1,1,1,1
2019-02-19,1,1,1,1
2019-02-20,1,1,1,1
date,net.master_network_store_writes_Avg,net.master_network_store_writes_Max,net.master_network_tx_writes_Avg,net.master_network_tx_writes_Max,net.slave_network_tx_writes_Avg,net.slave_network_tx_writes_Max
2019-02-10,0,0,0,0,0,0
2019-02-11,0,0,0,0,0,0
2019-02-12,0,0,0,0,0,0
2019-02-13,0,0,0,0,0,0
2019-02-14,0,0,0,0,0,0
2019-02-15,0,0,0,0,0,0
2019-02-16,0,0,0,0,0,0
2019-02-17,0,0,0,0,0,0
2019-02-18,0,0,0,0,0,0
2019-02-19,0,0,0,0,0,0
2019-02-20,0,0,0,0,0,0
date,srv.threads.jetty.all_Avg,srv.threads.jetty.all_Max,srv.threads.jetty.idle_Avg,srv.threads.jetty.idle_Max
2019-02-10,21,21,7,7
2019-02-11,21,21,7,7
2019-02-12,21,21,7,7
2019-02-13,21,21,7,7
2019-02-14,21,21,7,7
2019-02-15,21,21,7,7
2019-02-16,21,21,7,7
2019-02-17,21,21,7,7
2019-02-18,21,21,7,7
2019-02-19,21,21,7,7
2019-02-20,21,21,7,7
date,vm.gc.count.g1_old_generation_Avg,vm.gc.count.g1_old_generation_Max,vm.gc.count.g1_young_generation-ps_Avg,vm.gc.count.g1_young_generation-ps_Max,vm.gc.time.g1_old_generation_Avg,vm.gc.time.g1_old_generation_Max,vm.gc.time.g1_young_generation_Avg,vm.gc.time.g1_young_generation_Max,Total_GC_pause_time-ms_Avg,Total_GC_pause_time-ms_Max
2019-02-10,0,0,1,3,0,0,0,94,0,94
2019-02-11,0,0,1,6,0,0,1,151,1,151
2019-02-12,0,0,1,6,0,0,0,150,0,150
2019-02-13,0,0,1,6,0,0,1,155,1,155
2019-02-14,0,0,1,6,0,0,0,173,0,173
2019-02-15,0,0,1,5,0,0,0,140,0,140
2019-02-16,0,0,1,6,0,0,0,141,0,141
2019-02-17,0,0,1,6,0,0,0,149,0,149
2019-02-18,0,0,1,6,0,0,0,145,0,145
2019-02-19,0,0,1,5,0,0,0,148,0,148
2019-02-20,0,0,1,5,0,0,1,151,1,151
date,vm.memory.buffer.direct.capacity-mb_Avg,vm.memory.buffer.direct.capacity-mb_Max,vm.memory.buffer.direct.count_Avg,vm.memory.buffer.direct.count_Max,vm.memory.buffer.direct.used-mb_Avg,vm.memory.buffer.direct.used-mb_Max,vm.memory.buffer.mapped.capacity-mb_Avg,vm.memory.buffer.mapped.capacity-mb_Max,vm.memory.buffer.mapped.count_Avg,vm.memory.buffer.mapped.count_Max,vm.memory.buffer.mapped.used-mb_Avg,vm.memory.buffer.mapped.used-mb_Max,vm.memory.pool.code_cache-mb_Avg,vm.memory.pool.code_cache-mb_Max,vm.memory.pool.compressed_class_space-mb_Avg,vm.memory.pool.compressed_class_space-mb_Max,vm.memory.pool.g1_eden_space-mb_Avg,vm.memory.pool.g1_eden_space-mb_Max,vm.memory.pool.g1_old_gen-mb_Avg,vm.memory.pool.g1_old_gen-mb_Max,vm.memory.pool.g1_survivor_space-mb_Avg,vm.memory.pool.g1_survivor_space-mb_Max,vm.memory.pool.metaspace-mb_Avg,vm.memory.pool.metaspace-mb_Max,heap_size-mb_Avg,heap_size-mb_Max
2019-02-10,3,3,1,1,3,3,25,25,1,1,25,25,66,67,15,15,1087,2408,1370,1839,37,60,100,100,2635,3798
2019-02-11,3,3,1,1,3,3,25,25,1,1,25,25,66,68,15,15,1133,2434,1220,1840,32,78,100,101,2532,3823
2019-02-12,3,3,1,1,3,3,25,25,1,1,25,25,65,66,15,15,1134,2434,1241,1840,31,82,100,101,2551,3820
2019-02-13,3,3,1,1,3,3,24,25,1,1,24,25,65,67,15,15,1137,2434,1208,1840,34,78,100,101,2523,3815
2019-02-14,3,3,1,1,3,3,24,25,1,1,24,25,65,67,15,15,1143,2434,1238,1840,33,64,100,101,2559,3823
2019-02-15,3,3,1,1,3,3,25,25,1,1,25,25,66,68,15,15,1126,2434,1230,1840,36,64,100,101,2534,3823
2019-02-16,3,3,1,1,3,3,25,25,1,1,25,25,66,69,15,15,1129,2432,1259,1839,34,66,100,101,2566,3825
2019-02-17,3,3,1,1,3,3,25,25,1,1,25,25,67,69,15,15,1112,2432,1284,1841,33,66,100,101,2576,3817
2019-02-18,3,3,1,1,3,3,25,25,1,1,25,25,67,68,15,15,1118,2432,1251,1840,34,60,100,100,2548,3828
2019-02-19,3,3,1,1,3,3,24,25,1,1,24,25,66,69,15,15,1126,2430,1239,1842,35,74,100,101,2545,3827
2019-02-20,3,3,1,1,3,3,25,26,1,1,25,26,67,69,15,15,1125,2432,1255,1840,34,74,101,101,2561,3823
date,vm.thread.count_Avg,vm.thread.count_Max,vm.thread.total_Avg,vm.thread.total_Max
2019-02-10,346,369,350,373
2019-02-11,457,543,461,547
2019-02-12,466,543,470,547
2019-02-13,448,535,452,539
2019-02-14,455,551,459,555
2019-02-15,399,525,403,529
2019-02-16,436,541,440,545
2019-02-17,433,534,437,538
2019-02-18,436,523,440,527
2019-02-19,427,553,431,557
2019-02-20,464,546,468,550
date,log.events_Avg,log.events_Max,log.total_time_Avg,log.total_time_Max
2019-02-10,0,0,0,0
2019-02-11,0,0,0,0
2019-02-12,0,0,0,0
2019-02-13,0,0,0,0
2019-02-14,0,0,0,0
2019-02-15,0,0,0,0
2019-02-16,0,0,0,0
2019-02-17,0,0,0,0
2019-02-18,0,0,0,0
2019-02-19,0,0,0,0
2019-02-20,0,0,0,0
